university_id,university_name,course_id,faculty_name,course_name,project_name,application_id,citizen_id,title,first_name,last_name,phone_number,email,application_date,interview_location,interview_date,interview_time,ranking,round,admit_status
,,C0006,,,,,TH0000000201,,,,,,,,,,1,3/2562,9
,,C0006,,,,,TH0000000202,,,,,,,,,,2,3/2562,9
,,C0006,,,,,TH0000000203,,,,,,,,,,3,3/2562,9
,,C0006,,,,,TH0000000204,,,,,,,,,,4,3/2562,9
,,C0006,,,,,TH0000000205,,,,,,,,,,5,3/2562,9
,,C0008,,,,,TH0000000211,,,,,,,,,,1,3/2562,9
,,C0008,,,,,TH0000000212,,,,,,,,,,2,3/2562,9
,,C0009,,,,,TH0000000217,,,,,,,,,,1,3/2562,9
,,C0009,,,,,TH0000000218,,,,,,,,,,2,3/2562,9
,,C0009,,,,,TH0000000219,,,,,,,,,,3,3/2562,9
,,C0009,,,,,TH0000000220,,,,,,,,,,4,3/2562,9
