citizen_id,course_id,ranking
TH0000000001,C0001,1
TH0000000002,C0001,2
TH0000000003,C0001,3
TH0000000004,C0001,4
TH0000000005,C0001,5
TH0000000006,C0002,1
TH0000000007,C0002,2
TH0000000008,C0002,3
TH0000000009,C0002,4
TH0000000010,C0002,5
TH0000000011,C0002,6
TH0000000012,C0003,1
TH0000000013,C0003,2
TH0000000014,C0003,3
TH0000000015,C0003,4
TH0000000016,C0004,1
TH0000000017,C0004,2
TH0000000018,C0004,3
TH0000000019,C0004,4
TH0000000020,C0004,5
TH0000000021,C0004,6
TH0000000022,C0004,7
TH0000000023,C0004,8
TH0000000024,C0005,1
TH0000000025,C0005,2
TH0000000026,C0005,3
TH0000000027,C0005,4
TH0000000028,C0005,5
