university_id,university_name,course_id,faculty_name,course_name,project_name,application_id,citizen_id,title,first_name,last_name,phone_number,email,application_date,interview_location,interview_date,interview_time,ranking,round,admit_status
,,C0010,,,,,TH0000000301,,,,,,,,,,1,3/2562,9
,,C0010,,,,,TH0000000302,,,,,,,,,,2,3/2562,9
,,C0010,,,,,TH0000000303,,,,,,,,,,3,3/2562,9
,,C0010,,,,,TH0000000304,,,,,,,,,,4,3/2562,9
,,C0010,,,,,TH0000000305,,,,,,,,,,5,3/2562,9
,,C0011,,,,,TH0000000306,,,,,,,,,,1,3/2562,9
,,C0011,,,,,TH0000000307,,,,,,,,,,2,3/2562,9
,,C0011,,,,,TH0000000308,,,,,,,,,,3,3/2562,9
,,C0011,,,,,TH0000000309,,,,,,,,,,4,3/2562,9
,,C0011,,,,,TH0000000310,,,,,,,,,,5,3/2562,9
,,C0012,,,,,TH0000000327,,,,,,,,,,6,3/2562,-2
,,C0012,,,,,TH0000000328,,,,,,,,,,7,3/2562,-2
,,C0012,,,,,TH0000000329,,,,,,,,,,8,3/2562,-2
,,C0012,,,,,TH0000000312,,,,,,,,,,1,3/2562,-2
,,C0012,,,,,TH0000000313,,,,,,,,,,2,3/2562,-2
,,C0012,,,,,TH0000000314,,,,,,,,,,1,3/2562,9
,,C0012,,,,,TH0000000315,,,,,,,,,,2,3/2562,9
,,C0012,,,,,TH0000000316,,,,,,,,,,3,3/2562,9
,,C0012,,,,,TH0000000317,,,,,,,,,,4,3/2562,9
,,C0012,,,,,TH0000000318,,,,,,,,,,5,3/2562,9
,,C0012,,,,,TH0000000319,,,,,,,,,,6,3/2562,-2
,,C0012,,,,,TH0000000320,,,,,,,,,,7,3/2562,-2
,,C0012,,,,,TH0000000321,,,,,,,,,,8,3/2562,-2
,,C0014,,,,,TH0000000331,,,,,,,,,,2,3/2562,9
,,C0014,,,,,TH0000000332,,,,,,,,,,1,3/2562,9
,,C0014,,,,,TH0000000333,,,,,,,,,,3,3/2562,9
,,C0015,,,,,TH0000000334,,,,,,,,,,1,3/2562,9
,,C0015,,,,,TH0000000335,,,,,,,,,,2,3/2562,9
