university_id,university_name,course_id,faculty_name,course_name,project_name,application_id,citizen_id,title,first_name,last_name,phone_number,email,application_date,interview_location,interview_date,interview_time,ranking,round,admit_status
,,C0033,,,,,TH0000000601,,,,,,,,,,1,,9
,,C0033,,,,,TH0000000602,,,,,,,,,,2,,9
,,C0033,,,,,TH0000000603,,,,,,,,,,3,,9
,,C0034,,,,,TH0000000604,,,,,,,,,,1,,9
,,C0034,,,,,TH0000000605,,,,,,,,,,2,,9
,,C0035,,,,,TH0000000606,,,,,,,,,,1,,9
,,C0035,,,,,TH0000000607,,,,,,,,,,2,,9
,,C0035,,,,,TH0000000608,,,,,,,,,,3,,9
,,C0036,,,,,TH0000000609,,,,,,,,,,1,,9
,,C0036,,,,,TH0000000610,,,,,,,,,,2,,9
,,C0037,,,,,TH0000000611,,,,,,,,,,1,,9
,,C0037,,,,,TH0000000612,,,,,,,,,,2,,9
,,C0037,,,,,TH0000000613,,,,,,,,,,3,,9
,,C0037,,,,,TH0000000630,,,,,,,,,,4,,-2
,,C0038,,,,,TH0000000614,,,,,,,,,,1,,9
,,C0038,,,,,TH0000000615,,,,,,,,,,2,,9
,,C0038,,,,,TH0000000629,,,,,,,,,,3,,9
,,C0038,,,,,TH0000000631,,,,,,,,,,4,,-2
,,C0041,,,,,TH0000000622,,,,,,,,,,1,,9
,,C0041,,,,,TH0000000623,,,,,,,,,,2,,9
,,C0042,,,,,TH0000000624,,,,,,,,,,1,,9
,,C0042,,,,,TH0000000625,,,,,,,,,,2,,9
,,C0044,,,,,TH0000000635,,,,,,,,,,1,,9
,,C0045,,,,,TH0000000636,,,,,,,,,,1,,9
