university_id,university_name,course_id,faculty_name,course_name,project_name,application_id,citizen_id,title,first_name,last_name,phone_number,email,application_date,interview_location,interview_date,interview_time,ranking,round,admit_status
,,C0004,,,,,TH0000000018,,,,,,,,,,3,,9
,,C0005,,,,,TH0000000025,,,,,,,,,,2,,9
,,C0001,,,,,TH0000000004,,,,,,,,,,4,,9
,,C0001,,,,,TH0000000005,,,,,,,,,,5,,9
,,C0003,,,,,TH0000000013,,,,,,,,,,2,,9
,,C0003,,,,,TH0000000014,,,,,,,,,,3,,9
,,C0004,,,,,TH0000000016,,,,,,,,,,1,,9
,,C0001,,,,,TH0000000003,,,,,,,,,,3,,9
,,C0002,,,,,TH0000000008,,,,,,,,,,3,,9
,,C0002,,,,,TH0000000010,,,,,,,,,,5,,9
,,C0005,,,,,TH0000000026,,,,,,,,,,3,,9
,,C0003,,,,,TH0000000015,,,,,,,,,,4,,9
,,C0004,,,,,TH0000000021,,,,,,,,,,6,,-2
,,C0004,,,,,TH0000000022,,,,,,,,,,7,,-2
,,C0001,,,,,TH0000000002,,,,,,,,,,2,,9
,,C0002,,,,,TH0000000009,,,,,,,,,,4,,9
,,C0003,,,,,TH0000000012,,,,,,,,,,1,,9
,,C0005,,,,,TH0000000027,,,,,,,,,,4,,9
,,C0001,,,,,TH0000000001,,,,,,,,,,1,,9
,,C0004,,,,,TH0000000019,,,,,,,,,,4,,9
,,C0004,,,,,TH0000000020,,,,,,,,,,5,,9
,,C0004,,,,,TH0000000023,,,,,,,,,,8,,-2
,,C0005,,,,,TH0000000024,,,,,,,,,,1,,9
,,C0002,,,,,TH0000000007,,,,,,,,,,2,,9
,,C0002,,,,,TH0000000006,,,,,,,,,,1,,9
,,C0002,,,,,TH0000000011,,,,,,,,,,6,,-2
,,C0004,,,,,TH0000000017,,,,,,,,,,2,,9
,,C0005,,,,,TH0000000028,,,,,,,,,,5,,9
